"filename", "language", "Markdown", "Kotlin", "JSON", "Properties", "XML", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScheduleSettingsActivity.kt", "Kotlin", 0, 13, 0, 0, 0, -5, 1, 9
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScreensaverSettingsActivity.kt", "Kotlin", 0, 4, 0, 0, 0, -4, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsActivity.kt", "Kotlin", 0, 4, 0, 0, 0, -4, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsFragment.kt", "Kotlin", 0, 78, 0, 0, 0, -31, 11, 58
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\VideoPlaybackSettingsActivity.kt", "Kotlin", 0, -19, 0, 0, 0, -7, -3, -29
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\NoSourcesView.kt", "Kotlin", 0, 3, 0, 0, 0, -3, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\SlideshowView.kt", "Kotlin", 0, 94, 0, 0, 0, -78, 2, 18
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\DropboxAuthActivity.kt", "Kotlin", 0, 47, 0, 0, 0, -4, 7, 50
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderAdapter.kt", "Kotlin", 0, 15, 0, 0, 0, -12, 1, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderBrowserActivity.kt", "Kotlin", 0, 3, 0, 0, 0, -3, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 33, 0, 0, 0, -7, 3, 29
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GoogleDriveAuthActivity.kt", "Kotlin", 0, 82, 0, 0, 0, -4, 8, 86
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\OneDriveAuthActivity.kt", "Kotlin", 0, 55, 0, 0, 0, 4, 11, 70
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\BaseAccountManager.kt", "Kotlin", 0, 25, 0, 0, 0, -25, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxAccountManager.kt", "Kotlin", 0, 44, 0, 0, 0, -35, 0, 9
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxOAuthConfig.kt", "Kotlin", 0, 14, 0, 0, 0, -14, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleAccountManager.kt", "Kotlin", 0, 11, 0, 0, 0, -53, -6, -48
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleOAuthConfig.kt", "Kotlin", 0, -12, 0, 0, 0, -34, -8, -54
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SecureLinks.kt", "Kotlin", 0, 11, 0, 0, 0, -11, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SettingsManager.kt", "Kotlin", 0, 139, 0, 0, 0, -48, 0, 91
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\VersionUtils.kt", "Kotlin", 0, 18, 0, 0, 0, -18, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\CloudFolderViewModel.kt", "Kotlin", 0, 34, 0, 0, 0, -34, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt", "Kotlin", 0, 31, 0, 0, 0, -31, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\MainViewModel.kt", "Kotlin", 0, 19, 0, 0, 0, -19, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\settings_main.xml", "XML", 0, 0, 0, 0, 14, 0, 2, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\DataModelUnitTest.kt", "Kotlin", 0, 3, 0, 0, 0, -3, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\ViewModelUnitTest.kt", "Kotlin", 0, 4, 0, 0, 0, -4, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 1, 1, 2
"e:\coding_workspaces\Kotlin\AndroidScreensaver\msal_auth_config.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\settings.gradle.kts", "Kotlin", 0, 3, 0, 0, 0, 1, 1, 5
"Total", "-", 55, 2037, 16, 0, 31, -966, 149, 1322
