Date : 2026-05-30 11:27:47
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 116 files,  12609 codes, 1744 comments, 2184 blanks, all 16537 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Kotlin          |         50 |      8,701 |      1,495 |      1,378 |     11,574 |
| XML             |         52 |      3,040 |        165 |        513 |      3,718 |
| Markdown        |          7 |        677 |          0 |        225 |        902 |
| Kotlinscript    |          3 |        120 |         29 |         33 |        182 |
| Batch           |          1 |         41 |         32 |         22 |         95 |
| Python          |          1 |         19 |          2 |          4 |         25 |
| Java Properties |          2 |         11 |         21 |          9 |         41 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        116 |     12,609 |      1,744 |      2,184 |     16,537 |
| . (Files)                                                                                                                                           |         12 |        767 |         56 |        262 |      1,085 |
| app                                                                                                                                                 |        103 |     11,837 |      1,688 |      1,922 |     15,447 |
| app (Files)                                                                                                                                         |          1 |         96 |         28 |         31 |        155 |
| app\src                                                                                                                                             |        102 |     11,741 |      1,660 |      1,891 |     15,292 |
| app\src\main                                                                                                                                        |        100 |     11,552 |      1,653 |      1,856 |     15,061 |
| app\src\main (Files)                                                                                                                                |          1 |        147 |         26 |         29 |        202 |
| app\src\main\java                                                                                                                                   |         48 |      8,512 |      1,488 |      1,343 |     11,343 |
| app\src\main\java\com                                                                                                                               |         48 |      8,512 |      1,488 |      1,343 |     11,343 |
| app\src\main\java\com\vincentwetzel                                                                                                                 |         48 |      8,512 |      1,488 |      1,343 |     11,343 |
| app\src\main\java\com\vincentwetzel\androidscreensaver                                                                                              |         48 |      8,512 |      1,488 |      1,343 |     11,343 |
| app\src\main\java\com\vincentwetzel\androidscreensaver (Files)                                                                                      |          1 |         50 |         10 |         11 |         71 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data                                                                                         |         11 |      2,076 |        465 |        352 |      2,893 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\model                                                                                   |          2 |        636 |        236 |        101 |        973 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository                                                                              |          9 |      1,440 |        229 |        251 |      1,920 |
