"filename", "language", "Markdown", "Python", "Kotlinscript", "Batch", "Java Properties", "Kotlin", "XML", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_open_in_new.xml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_preview.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_privacy.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_reset.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_search.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_dropbox.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_gallery.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_drive.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_photos.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_network.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
