"filename", "language", "Kotlinscript", "Markdown", "Java Properties", "XML", "Kotlin", "Batch", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\PhotoScreensaverService.kt", "Kotlin", 0, 0, 0, 0, 206, 0, 29, 41, 276
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SlideshowManager.kt", "Kotlin", 0, 0, 0, 0, 230, 0, 56, 39, 325
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SourceType.kt", "Kotlin", 0, 0, 0, 0, 2, 0, 0, 2, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\AlarmReceiver.kt", "Kotlin", 0, 0, 0, 0, 22, 0, 1, 4, 27
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\BootReceiver.kt", "Kotlin", 0, 0, 0, 0, 13, 0, 0, 3, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\service\ScheduleService.kt", "Kotlin", 0, 0, 0, 0, 99, 0, 0, 17, 116
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\ScreensaverPreviewActivity.kt", "Kotlin", 0, 0, 0, 0, 134, 0, 25, 30, 189
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about\AboutActivity.kt", "Kotlin", 0, 0, 0, 0, 47, 0, 11, 14, 72
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 667, 0, 33, 92, 792
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\SourceType.kt", "Kotlin", 0, 0, 0, 0, 16, 0, 4, 4, 24
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DebugSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 114, 0, 10, 16, 140
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DecorationSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 495, 0, 40, 48, 583
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\PhotoInfoSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 321, 0, 40, 54, 415
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScheduleSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 214, 0, 11, 29, 254
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScreensaverSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 17, 0, 5, 4, 26
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 28, 0, 6, 7, 41
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsFragment.kt", "Kotlin", 0, 0, 0, 0, 698, 0, 107, 88, 893
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\VideoPlaybackSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 204, 0, 23, 31, 258
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\NoSourcesView.kt", "Kotlin", 0, 0, 0, 0, 64, 0, 4, 9, 77
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\SlideshowView.kt", "Kotlin", 0, 0, 0, 0, 1251, 0, 178, 139, 1568
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\DropboxAuthActivity.kt", "Kotlin", 0, 0, 0, 0, 112, 0, 12, 23, 147
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderAdapter.kt", "Kotlin", 0, 0, 0, 0, 126, 0, 18, 26, 170
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 358, 0, 18, 54, 430
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 254, 0, 16, 35, 305
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GoogleDriveAuthActivity.kt", "Kotlin", 0, 0, 0, 0, 133, 0, 12, 24, 169
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\BaseAccountManager.kt", "Kotlin", 0, 0, 0, 0, 21, 0, 25, 10, 56
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxAccountManager.kt", "Kotlin", 0, 0, 0, 0, 158, 0, 45, 26, 229
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxOAuthConfig.kt", "Kotlin", 0, 0, 0, 0, 4, 0, 14, 3, 21
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleAccountManager.kt", "Kotlin", 0, 0, 0, 0, 138, 0, 54, 27, 219
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleOAuthConfig.kt", "Kotlin", 0, 0, 0, 0, 12, 0, 34, 8, 54
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SecureLinks.kt", "Kotlin", 0, 0, 0, 0, 24, 0, 11, 4, 39
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SettingsManager.kt", "Kotlin", 0, 0, 0, 0, 361, 0, 88, 65, 514
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\VersionUtils.kt", "Kotlin", 0, 0, 0, 0, 26, 0, 18, 5, 49
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\CloudFolderViewModel.kt", "Kotlin", 0, 0, 0, 0, 131, 0, 41, 28, 200
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt", "Kotlin", 0, 0, 0, 0, 107, 0, 36, 23, 166
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\MainViewModel.kt", "Kotlin", 0, 0, 0, 0, 114, 0, 21, 18, 153
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\bg_status_indicator.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_back.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 1, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_bug.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_discord.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_folder.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_github.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_google.xml", "XML", 0, 0, 0, 18, 0, 0, 0, 1, 19
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 172, 0, 0, 0, 1, 173
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_license.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_no_photos.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_open_in_new.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 1, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_preview.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_privacy.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_reset.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_search.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_settings.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
